fold,model,max_depth,min_samples_leaf,max_features,n_estimators,val_rmse,trial,is_best,learning_rate,subsample,colsample_bytree,reg_lambda,min_child_weight
test,xgboost,6.0,,,162.0,0.9176918292942273,75.0,0,0.05,0.8,0.6,2.0,3.0
test,xgboost,4.0,,,233.0,0.9131951615113877,76.0,0,0.02,0.7,0.9,0.5,1.0
test,xgboost,4.0,,,295.0,0.9128714366354406,77.0,0,0.02,0.9,0.9,5.0,3.0
test,xgboost,3.0,,,312.0,0.9137301150047306,78.0,0,0.02,0.7,0.8,0.5,5.0
test,xgboost,8.0,,,67.0,0.9128155823072113,79.0,0,0.08,0.9,0.7,0.5,10.0
test,xgboost,4.0,,,111.0,0.921589611204196,80.0,0,0.05,0.7,0.6,0.5,10.0
test,xgboost,4.0,,,95.0,0.9196088072415259,81.0,0,0.08,0.6,0.7,1.0,5.0
test,xgboost,6.0,,,196.0,0.9155104570141568,82.0,0,0.03,0.7,0.9,5.0,1.0
test,xgboost,8.0,,,124.0,0.9180631443147763,83.0,0,0.05,0.9,0.7,1.0,1.0
test,xgboost,3.0,,,166.0,0.9195992895789393,84.0,0,0.05,0.6,0.7,2.0,3.0
test,xgboost,8.0,,,407.0,0.9183726672117364,85.0,0,0.01,0.9,0.9,0.5,3.0
test,xgboost,8.0,,,818.0,0.903267231068692,86.0,0,0.01,0.6,0.6,5.0,3.0
test,xgboost,6.0,,,888.0,0.9162008657873324,87.0,0,0.01,0.7,0.7,5.0,10.0
test,xgboost,3.0,,,230.0,0.9152889124031677,88.0,0,0.03,0.6,0.6,1.0,3.0
test,xgboost,4.0,,,739.0,0.9223002360782908,89.0,0,0.01,0.8,0.7,5.0,1.0
test,xgboost,6.0,,,152.0,0.9134674894458799,90.0,0,0.05,0.6,0.6,1.0,10.0
test,xgboost,6.0,,,222.0,0.9192588930651473,91.0,0,0.03,0.6,0.6,0.5,10.0
test,xgboost,4.0,,,327.0,0.9206104905124275,92.0,0,0.02,0.9,0.9,5.0,10.0
test,xgboost,5.0,,,118.0,0.9119504365429397,93.0,0,0.05,0.6,0.8,0.5,5.0
test,xgboost,6.0,,,863.0,0.9087418671264877,94.0,0,0.01,0.9,0.7,5.0,3.0
test,xgboost,4.0,,,248.0,0.9295457820939097,95.0,0,0.03,0.8,0.7,5.0,10.0
test,xgboost,8.0,,,193.0,0.9057158606870801,96.0,0,0.03,0.6,0.8,2.0,1.0
test,xgboost,8.0,,,89.0,0.9180494075993428,97.0,0,0.05,0.9,0.8,0.5,1.0
test,xgboost,5.0,,,187.0,0.9179510875857938,98.0,0,0.05,0.9,0.6,5.0,1.0
test,xgboost,6.0,,,353.0,0.9111271058301404,99.0,0,0.02,0.7,0.6,1.0,1.0
