taxon_name,random_forest_m1,xgboost_m1,random_forest_m2,xgboost_m2,random_forest_m3,xgboost_m3,random_forest_m4,xgboost_m4
Glossophaga soricina,0.18242776651436626,0.13239688669078026,0.4873795356205781,0.5564937024053088,0.8630713786052335,0.6922245548168864,0.5222800488295356,0.40174118262226355
Glyptonotus antarcticus,0.030607392088282944,0.022012016843870923,0.38588274989045274,0.43324830792839025,0.31768330724015703,0.756829075361892,0.2917596676946826,0.5102914305152018
Heliosciurus rufobrachium,0.2578992824590876,0.3049948758816978,0.959432280377703,0.9307881745857207,0.8363630841467358,0.793063428125109,0.8322289535439923,0.9505599017100242
Hemidactylus frenatus,0.6047006702703497,0.7974388646580381,0.7121735722877323,0.9101822893087653,0.5835757396149179,0.7638741804110468,0.6368276573479851,0.9092393991412377
Himatione sanguinea,0.10968437305899141,0.0902568291054003,0.22177009408194914,0.2996316089146644,0.767870448810421,0.8468828494061469,0.769391932025748,0.8355846001686448
Hipposideros galeritus,0.269359570553541,0.36434709597175785,0.6797055470152187,0.7333022191744816,0.43920024816472947,0.5332993611471146,0.7034153936559078,0.8625839205317428
Histiotus velatus,0.16617568879987737,0.15731699444166627,0.48656598533039697,0.5013052789182622,0.5041983318686083,0.7322502485103821,0.8632717601593828,0.8242271990368444
Hoplerythrinus unitaeniatus,0.42617397049466044,0.4225989952222661,0.41053346887666026,0.4759463195795926,0.6845475354811043,0.6151028349315145,0.7542291894547016,0.7185975581541161
Hylarana chalconota,0.8210945858900593,0.6576684109937344,0.27762947172581015,0.24885479652162223,0.7854841148555843,0.719630096464257,0.13286441820455996,0.28066687296083626
Incilius alvarius,0.48675803649874705,0.3583388912993566,0.6929248556336076,0.5908450091948755,0.40315481874421366,0.1637404863789019,0.5847185290553648,0.6303376199310943
Jaculus orientalis,0.15478153532182273,0.18992420743154936,0.721264493077096,0.552849339757967,0.8529641218615166,0.9457708024936604,0.7294468994487431,0.9576398002194928
Japetella diaphana,0.006343129491050415,0.006033021105837612,0.06749294464338354,0.02675695147160462,0.05631573031359867,0.016614992606622827,0.0626756798602296,0.02660016680882835
Junco hyemalis,0.13841801607337037,0.19643990836051856,0.47878144628821917,0.3885025003995918,0.9710871196326557,0.9280903062208514,0.9926762516497825,0.9389714758276283
Kassina senegalensis,0.1341013228646164,0.17433064885676502,0.7052012209048053,0.7888285834992694,0.7213079057208591,0.8592856357926306,0.7188285752736973,0.5408923933096047
Lacerta agilis,0.608523296877485,0.8231142320016479,0.91549348693219,0.5585463616999368,0.3433267407169797,0.5534384040498619,0.4806176140886854,0.5568598402613522
Lagodon rhomboides,0.2582079216444432,0.2789150138206118,0.15013421470288693,0.14904975173083437,0.6159436721181734,0.30615610985455965,0.10956051372123794,0.15858939160359334
Lagopus leucura,0.06612073294851992,0.06326458056848967,0.1549015447481,0.2132126589091712,0.5696620908990532,0.5885853783110309,0.5145898424312884,0.37341737989539203
Lampropeltis getula,0.11770295563238521,0.831434822001034,0.07384244041009055,0.15702983573269455,0.37400893473875646,0.5094375781993661,0.4949726243089341,0.7585132867550336
