taxon_name,M1-R,M-MTE,M2-R,M4-R,M4-PGLS,M1-RF,M2-RF,M3-RF,M4-RF,M1-XGB,M2-XGB,M3-XGB,M4-XGB,Residual-RF,Residual-XGB,M3-R
Pogonomyrmex maricopa,0.5574549301655191,0.2783510469176188,0.9890474851580798,0.9345550874964519,0.14863188705799596,0.8395404444915043,0.9012940856627213,0.9244554526032245,0.9640191977973447,0.969615894084981,0.6725989865453798,0.7114853786489248,0.8952270322465627,0.9654084017321504,0.9650352792592873,0.8216547632639761
Pollachius pollachius,0.9418378649372235,0.4587310004672595,0.6789975388465632,0.2571915614564214,0.8580008153328103,0.7819340313891572,0.2550631837365869,0.3291134909659981,0.3568124163772025,0.8691769668755214,0.2391524305518571,0.4009961981763585,0.3939349593436652,0.2997891329001984,0.34625158683538715,0.2862270240242879
Poromitra crassiceps,0.047841476616651245,0.33387969214319463,0.33647491116859013,0.24012428901165556,0.06686841760062483,0.04673137261785544,0.7472214313859823,0.7373540139932246,0.7626740355508849,0.07063698613388454,0.42243448143849577,0.45369528529201186,0.769422533398699,0.47197972086698137,0.49386529686975306,0.24877440252831617
Potos flavus,0.5249964945994627,0.47161298727626,0.6028162939210695,0.5586649804919015,0.48557787505100786,0.3145728961623659,0.9284469291378936,0.9372094190973979,0.9350491577451333,0.30496925035240785,0.943384964448583,0.9287549180219077,0.7858500812177953,0.94160643957764,0.8988719083972392,0.7517837632254696
Procyon cancrivorus,0.44936928611186466,0.3282476902047,0.5680458175914126,0.4377377390000266,0.4056741985746133,0.33537958722968314,0.9342670136219232,0.9078737153599905,0.7529851070560162,0.08823130341834418,0.7507715710837274,0.9714298002089233,0.8970361541969021,0.8988236021773186,0.9553888319993806,0.8758087555499068
Procyon lotor,0.43485311598372556,0.2422749856429997,0.5269936279091145,0.39115014897106753,0.2843368886781221,0.7998665284486466,0.7207509912647152,0.788393894275254,0.767416225256374,0.6508167053065449,0.8564919994380314,0.8554658487283793,0.7922933833165425,0.8118743530803836,0.8352476385542944,0.8352009421719302
Prunella modularis,0.06709386336022681,0.10881616310477892,0.09602809374502817,0.5868252489613305,0.15660141133319858,0.043207045875869036,0.4393240553141494,0.9163324512985647,0.8675784562050523,0.04620278834016618,0.3483556092118746,0.8406119857523173,0.8504675370161875,0.7698503888195246,0.7781143237603663,0.7333528000237587
Pseudobranchus striatus,0.19175828325665562,0.08055175471639488,0.12620854371724485,0.4696384061303664,0.05201845304051519,0.4145331039115598,0.2087547093962951,0.6648499542900117,0.32137487611659554,0.6665528688248629,0.21985317966618312,0.8386220664246409,0.8780047931884801,0.9137691124018857,0.8678605840388394,0.6720774621818681
Pseudoeurycea gadovii,0.11301709834459354,0.1609841732360818,0.22850112482202195,0.823913494709411,0.05757718141630756,0.04202254739046774,0.5010833306092131,0.6775406606813683,0.5765425859984168,0.15047985069735717,0.7039724698122162,0.8235884529478494,0.930262079620091,0.9755671705467993,0.9030648647917897,0.7463498928933363
Pseudonaja nuchalis,0.3693977875937556,0.15248695865077755,0.12017607878565983,0.3056231312520672,0.18252152330159446,0.4601462620953407,0.1841878271786166,0.8032376483716536,0.6880446006242912,0.38778678995526344,0.17895027529675406,0.9819349531965688,0.587818654148763,0.9178421473577055,0.9946825674259977,0.8973418104841512
Pterocles orientalis,0.21457069783737426,0.19279384954924803,0.2801247025202033,0.22214468899793163,0.24787603528088412,0.17644189621232373,0.6762554340210292,0.87725503855919,0.6254666470194056,0.16141584558176997,0.7420385110772253,0.9010685368094611,0.8666994773006603,0.7732015003523781,0.8652829551163285,0.7180639005414364
Pterodroma phaeopygia,0.08601408786169362,0.07591079524775203,0.11197933524395577,0.08858163998335825,0.09726533873626457,0.060907601346167725,0.2993412580022871,0.36379030353215325,0.2616125723077853,0.05917560031574565,0.2720338526377987,0.406854085548094,0.2976488730359073,0.5121288030058643,0.4458245942824295,0.5494928658838544
Pteronotus quadridens,0.20441383065659718,0.6260623688210929,0.44448915496678154,0.367240435249195,0.7546902094033481,0.07565200951291444,0.12678418108815692,0.5517552244720922,0.643775968522716,0.07266120837901054,0.31150824469232485,0.8099191829626617,0.30194528510905577,0.5435947955714652,0.4827297237481348,0.6640080667002008
Ptyodactylus hasselquistii,0.5974424491415171,0.18584983995313,0.24094331578570516,0.49002383679584893,0.16765351612419715,0.4983741317577571,0.4377559866457566,0.9616150327021152,0.7932829483795618,0.3684449350343359,0.3051868465923971,0.7213602846586578,0.796117575334354,0.7608653129517334,0.8392295984869075,0.8056869909570358
Puffinus griseus,0.2642894589973656,0.21011154772260754,0.3385205967033022,0.2639419091878299,0.2639034006840856,0.1310637080751189,0.38232843486580886,0.8455475283710241,0.9882982785266351,0.14504244944260392,0.5932497682014455,0.8756360213889903,0.7106958861281879,0.6948927126639259,0.7757733491913881,0.649476780781452
