pipeline,split,model,algo,params,train_R2_mean,train_R2_sd,train_RMSE_mean,train_RMSE_sd,test_R2_mean,test_R2_sd,test_RMSE_mean,test_RMSE_sd
avg,random,m4,rf,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 1}",0.9846700711491607,0.0007847571711413176,0.1895220364546164,0.0034818961282315052,0.9344188460633793,0.01314948815993022,0.3880240972362769,0.028248508916726138
avg,random,m4,rf,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 3}",0.970593999055885,0.001346035741126523,0.2625135935136712,0.004299935550089158,0.933760156514803,0.014050150182983369,0.38976511151026305,0.029657894863708192
avg,random,m4,rf,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 1}",0.9905964893466674,0.0006037073928527581,0.14840010324612155,0.0036744491127867146,0.9333174079741694,0.013373378895316092,0.3912611629341865,0.028697623073326628
avg,random,m4,rf,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 3}",0.9718801807710102,0.0013150719218757616,0.25670581077089427,0.00439311454565837,0.9337663872780915,0.014117628608987272,0.38972189803636453,0.0298552807291201
avg,density,m1,lm,{},0.8297016299794556,0.0552074579133654,0.6011049646587466,0.02348726705764778,0.3136124003204174,0.4267039569541724,0.688586419036509,0.0980478267714954
avg,density,m1,xgb,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.05}",0.8623696667345684,0.04288503239504438,0.5408317225339572,0.01713592488138315,0.20649849679058807,0.38207261973171414,0.7889816182882442,0.08329880122859631
avg,density,m1,xgb,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1}",0.8686989390566368,0.040431411739547,0.5284470829023882,0.01559558437065052,0.1932848539878235,0.4020218496258107,0.7897430280235874,0.071021463966962
avg,density,m1,xgb,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05}",0.8687073036959634,0.04055265955757916,0.5283716833915646,0.015695973258761334,0.1945153860615446,0.3954830620351808,0.7908462072367215,0.07216457185834961
avg,density,m1,xgb,"{'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.1}",0.8740639850800651,0.03924388048432896,0.517309620637252,0.014871980582674022,0.16519139975173078,0.4223715612535838,0.7993391660678876,0.05989256997593842
avg,density,m1,xgb,"{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.05}",0.8764012494066062,0.038710688123163514,0.5124093901698479,0.014989429579567828,0.14587188749965638,0.4328929139313144,0.8084311923311936,0.060762958647018826
avg,density,m1,xgb,"{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.1}",0.8781955951911465,0.03829540769150167,0.5086087469876487,0.014967662296032939,0.11447195625460696,0.4602723259931509,0.8182489544440656,0.0516535536131388
avg,density,m1,xgb,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.05}",0.86620570491078,0.04148820877649904,0.5333245470752136,0.016331263525682618,0.20049735822407752,0.38770838486050363,0.7900418340102184,0.077258663406671
avg,density,m1,xgb,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.1}",0.8719191860837107,0.039561221988330175,0.5218628769554872,0.015228544005710156,0.17941120390323828,0.40435141800272895,0.7976400057648408,0.07188941276543956
avg,density,m1,xgb,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.05}",0.8722535010979996,0.03967709133603069,0.5210822678935254,0.015249634321591382,0.17964791016943743,0.4039358880418185,0.7970008425902861,0.0684556796051734
avg,density,m1,xgb,"{'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1}",0.876326963383476,0.038504428413652265,0.5126609389795102,0.014637941266693315,0.14918954422143155,0.42080401198374456,0.8100704278367171,0.06436980535686734
avg,density,m1,xgb,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.05}",0.8778773592447955,0.038247611132261224,0.5093421660000883,0.014854808809674703,0.13314559824493372,0.43899215166577216,0.8140440755020334,0.058739964578903264
avg,density,m1,xgb,"{'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1}",0.8785696927743782,0.03811818925025147,0.5078572889512196,0.014994709710516129,0.11203933211598796,0.4511711614552909,0.8227258114790799,0.05546277205744308
avg,density,m1,rf,"{'n_estimators': 300, 'max_depth': 6, 'min_samples_leaf': 1}",0.8750444189118243,0.04075064816239235,0.514482968880164,0.01990870964826137,0.19415145444423593,0.379845643995822,0.7967441546939117,0.08331874225031806
avg,density,m1,rf,"{'n_estimators': 300, 'max_depth': 6, 'min_samples_leaf': 3}",0.8699119808075089,0.04154253607674266,0.525368255719977,0.018634094465430937,0.19116028892796164,0.3883825118125735,0.7962359577395974,0.08126016597176902
avg,density,m1,rf,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 1}",0.9231468982290355,0.02671381955139266,0.4025259622398368,0.019088229500643105,0.120267103848906,0.4166174630029363,0.8290482859282207,0.07102750232559978
avg,density,m1,rf,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 3}",0.8933013362359175,0.03371748026585271,0.47598771442395976,0.015127325131742725,0.13976081671437868,0.42431483413645543,0.8161602307572459,0.07123402894760983
avg,density,m1,rf,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 1}",0.9542960256564683,0.01756452304895333,0.30906784615631533,0.01863190666039161,0.00931749361080425,0.4867985329522853,0.87249179403568,0.050181020117244034
avg,density,m1,rf,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 3}",0.8998778188888531,0.031353192828245585,0.4612065571294547,0.01298271674352136,0.11773446839441841,0.44122940037366837,0.824147109186586,0.06593289625829026
avg,density,m2,lm,{},0.8705540214702093,0.03970569191792467,0.5251685327967461,0.03482421258226221,0.5661508391371631,0.30165426804218337,0.567596322913323,0.13869489520867628
