class,order,family,Genus,species,wet_Mass_g,wet_Mass_kg,BMR,BMR_unit,temperature,temperature_unit,Reference,taxon_name,pc1,pc2,pc3,pc4,pc5,log_mass,log_BMR,inv_kT
Malacostraca,Euphausiacea,Euphausiidae,Euphausia,pacifica,0.0177,1.77e-05,4.6905e-05,W,17.2,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Euphausia pacifica,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-4.752026733638194,-4.328780859701386,39.9688890161676
Malacostraca,Euphausiacea,Euphausiidae,Euphausia,pacifica,0.0338,3.3799999999999995e-05,1.5987399999999995e-05,W,10.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Euphausia pacifica,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-4.471083299722346,-4.796222158984534,40.9852266496354
Malacostraca,Euphausiacea,Euphausiidae,Euphausia,pacifica,0.0338,3.3799999999999995e-05,0.0001096471999999,W,10.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Euphausia pacifica,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-4.471083299722346,-3.960002454183623,40.9852266496354
Malacostraca,Euphausiacea,Euphausiidae,Euphausia,tricantha,0.32,0.00032,0.0001408,W,0.1,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Euphausia tricantha,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-3.494850021680094,-3.8513973451939068,42.470144284882934
Malacostraca,Decapoda,Aristeidae/Sergestidae,Gecarcoidea,natalis,160.0,0.16,0.1119999999999999,W,25.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Gecarcoidea natalis,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-0.7958800173440752,-0.9507819773298187,38.92324979320565
Malacostraca,Decapoda,Lithodidae,Paralomis,multispina,7.64,0.00764,0.00051188,W,3.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Paralomis multispina,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-2.1169066414243103,-3.2908318387234834,42.02414240754758
Teleostei,Perciformes,Centrarchidae,Lepomis,macrochirus,128.0,0.128,0.3055,W,22.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Lepomis macrochirus,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-0.8927900303521317,-0.514988785421427,39.31887828508983
Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,transmontanus,950.0,0.95,0.011115,W,15.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Acipenser transmontanus,-5478.17471535787,6923.871952952772,-9.865091907143574,0.1482700901892264,9.646907502526232e-05,-0.022276394711152253,-1.9540905329649907,40.274047981413375
Teleostei,Gadiformes,Gadidae,Boreogadus,saida,110.0,0.11,0.0077,W,1.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Boreogadus saida,-5478.17471535787,6923.871952952772,-9.865091907143574,0.1482700901892264,9.646907502526232e-05,-0.958607314841775,-2.113509274827518,42.33072013804218
Teleostei,Perciformes,Serranidae,Centropristis,striata,84.0,0.084,0.032676,W,25.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Centropristis striata,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-1.0757207139381184,-1.4857711126124107,38.92324979320565
Teleostei,Perciformes,Channidae,Channa,orientalis,30.0,0.03,0.006303,W,30.0,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Channa orientalis,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-1.5228787452803376,-2.200452692874385,38.28126975373334
Teleostei,Perciformes,Chiasmodontidae,Chiasmodon,niger,76.59999999999991,0.0765999999999999,0.0116202199999999,W,2.5,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Chiasmodon niger,-5478.17471535787,6923.871952952772,-9.865091907143574,0.1482700901892264,9.646907502526232e-05,-1.1157712303673966,-1.9347856495806692,42.100369765442636
Teleostei,Perciformes,Nomeidae,Cubiceps,whiteleggii,1.3,0.0013,0.00328705,W,13.5,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Cubiceps whiteleggii,-5478.17471535787,6923.871952952772,-9.865091907143574,0.1482700901892264,9.646907502526232e-05,-2.886056647693163,-2.4831936897246,40.48479653181323
Teleostei,Perciformes,Harpagiferidae,Harpagifer,georgianus,4.13,0.00413,3.2214e-05,W,1.5,C,"A. M. Makarieva et al., Mean mass-specific metabolic rates are strikingly similar across life's major domains: Evidence for life's metabolic optimum. Proc. Natl. Acad. Sci. U.S.A. 105, 16994-16999 (2008).",Harpagifer georgianus,-4787.355476805344,-1628.0238829484106,32.47011504609951,-1.8874344255119289,-0.0029329313331031,-2.384049948343599,-4.4919553456531185,42.253657112121836
