Species,wet_mass_g,wet_mass_kg,BMR,BMR_unit,temperature,temperature_unit,Food,Habitat,Torpor,Islands,Mountains,source_file,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Aneides ferreus,2.73,0.00273,0.00091182,W,15.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5245.42809510134,-5371.5125355869895,585.5198230162318,-443.0625874385415,-745.9272767006054,-0.9781958542154996,-191.86521015521856,19.95321262347688,0.0518165390428367,0.5786593485044109
Aneides flavipunctatus,4.57,0.00457,0.00147611,W,15.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5245.42809510134,-5371.5125355869895,585.5198230162318,-443.0625874385415,-745.9272767006054,-0.9781958542154996,-191.86521015521856,19.95321262347688,0.0518165390428367,0.5786593485044109
Aneides hardii,0.97,0.0009699999999999,0.0004238899999999,W,20.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Aneides lugubris,5.58,0.00558,0.00183582,W,15.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Batrachoseps attenuatus,0.93,0.00093,0.00044547,W,25.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Bolitoglossa franklini,3.18,0.00318,0.00067416,W,15.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Bolitoglossa morio,2.09,0.00209,0.0005454899999999,W,15.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Bolitoglossa occidentalis,0.97,0.0009699999999999,0.00024832,W,15.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Bolitoglossa subpalmata,1.63,0.00163,0.00043032,W,5.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Bombina orientalis,2.6,0.0026,0.0012012,W,20.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Boulengerula taitana,5.0,0.005,0.002165,W,35.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5245.42809510134,-5371.5125355869895,585.5198230162318,-443.0625874385415,-745.9272767006054,-0.9781958542154996,-191.86521015521856,19.95321262347688,0.0518165390428367,0.5786593485044109
Bufo bufo,76.13,0.0761299999999999,0.0350198,W,15.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Ceratophrys calcarata,55.5,0.0555,0.0164834999999999,W,25.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Colostethus inguinalis,1.57,0.00157,0.00112726,W,20.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Conraua goliath,1.0,0.001,0.001117,W,25.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Crinia parinsignifera,251.0,0.251,0.104667,W,30.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Crinia signifera,0.452,0.000452,0.000638676,W,25.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5277.98927736548,-5530.505622336774,756.6604932171252,-2860.4578770241314,5849.418916810871,1.3374586143008995,44.54932743689852,159.21646508641817,0.0325484517944158,0.0441670856705277
Cryptobranchus alleganiensis,0.621,0.000621,0.000827793,W,25.0,C,,,,,,pnas.2303764120.sd01.xlsx,-5245.42809510134,-5371.5125355869895,585.5198230162318,-443.0625874385415,-745.9272767006054,-0.9781958542154996,-191.86521015521856,19.95321262347688,0.0518165390428367,0.5786593485044109
