,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Nocardia farcinica,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.17121382645299094,-0.00044472811222943785,-0.004987746061812474
Mycobacterium tuberculosis,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.17121382645299094,-0.00044472811222943785,-0.004987746061812474
Cellvibrio gilvus,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.17121382645299094,-0.00044472811222943785,-0.004987746061812474
Methanobacterium formicicum,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.17121382645299094,-0.00044472811222943785,-0.004987746061812474
Halobacterium salinarum,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.17121382645299094,-0.00044472811222943785,-0.004987746061812474
Methanospirillum hungatei,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.17121382645299094,-0.00044472811222943785,-0.004987746061812474
Picrophilus oshimae,79477.02107959143,1405.5676149128533,-20.064005201534744,6.5397514209968515,9.705087477997589,0.010945885946169309,1.7019392894647827,-0.17121382645299094,-0.00044472811222943785,-0.004987746061812474
Saccharomyces cerevisiae,20162.670549204955,-3339.079306122403,403.90640420409176,-308.22771559838617,-519.3145921653311,-0.681554159457427,-133.81479641839874,13.91793605415095,0.036143486102477855,0.40362471368588426
Squalus acanthias,3972.374375105239,-4634.166215212608,519.6323025061387,-394.1458529706246,-663.7144754779728,-0.8705772328856906,-170.80510429563768,17.76367502572277,0.04613051317638621,0.5151585446154797
Chiloscyllium plagiosum,3972.374375105239,-4634.166215212608,519.6323025061387,-394.1458529706246,-663.7144754779728,-0.8705772328856906,-170.80510429563768,17.76367502572277,0.04613051317638621,0.5151585446154797
Triakis semifasciata,3972.374375105239,-4634.166215212608,519.6323025061387,-394.1458529706246,-663.7144754779728,-0.8705772328856906,-170.80510429563768,17.76367502572277,0.04613051317638621,0.5151585446154797
Scyliorhinus canicula,3972.374375105239,-4634.166215212608,519.6323025061387,-394.1458529706246,-663.7144754779728,-0.8705772328856906,-170.80510429563768,17.76367502572277,0.04613051317638621,0.5151585446154797
Lepidogalaxias salamandroides,-1156.6593056039833,-5044.445576673309,556.2938943472489,-421.3644421568423,-709.4598934145414,-0.9304591337242686,-182.52351468924417,18.981992745197036,0.0492943711862607,0.5504921030152561
Pseudobathylagus milleri,-1292.7387149481876,-5055.342850038071,557.2773397653365,-422.1196447144912,-710.7508305651265,-0.9322181930477426,-183.09451052513472,19.3988427140675,0.050581249412327334,0.583023230287155
Bathylagus antarcticus,-1292.7387149481876,-5055.342850038071,557.2773397653365,-422.1196447144912,-710.7508305651265,-0.9322181930477426,-183.09451052513472,19.3988427140675,0.050581249412327334,0.583023230287155
Leuroglossus stilbius,-1292.7387149481876,-5055.342850038071,557.2773397653365,-422.1196447144912,-710.7508305651265,-0.9322181930477426,-183.09451052513472,19.3988427140675,0.050581249412327334,0.583023230287155
Esox lucius,-5245.42809510134,-5371.5125355869895,585.5198230162318,-443.0625874385415,-745.9272767006054,-0.9781958542154996,-191.86521015521856,19.95321262347688,0.05181653904283679,0.5786593485044109
Esox masquinongy,-5245.42809510134,-5371.5125355869895,585.5198230162318,-443.0625874385415,-745.9272767006054,-0.9781958542154996,-191.86521015521856,19.95321262347688,0.05181653904283679,0.5786593485044109
