class,order,family,Genus,species,wet_Mass_g,wet_Mass_kg,BMR,BMR_unit,temperature,temperature_unit,Reference,taxon_name
Amphibia,Caudata,Plethodontidae,Gyrinophilus,porphyriticus,7.0,0.007,0.0039444444444444,W,15.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Gyrinophilus porphyriticus
Amphibia,Caudata,Plethodontidae,Hydromantes,platycephalus,2.0,0.002,0.0021666666666666,W,15.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Hydromantes platycephalus
Amphibia,Anura,Hyperoliidae,Hyperolius,viridiflavus,1.0,0.001,0.0036666666666666,W,20.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Hyperolius viridiflavus
Amphibia,Anura,Bufonidae,Incilius,alvarius,174.0,0.174,1.2881111111111112,W,26.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Incilius alvarius
Amphibia,Anura,Microhylidae,Kaloula,pulchra,31.0,0.031,0.1187222222222222,W,20.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Kaloula pulchra
Amphibia,Anura,Ranidae,Lithobates,catesbeianus,403.0,0.403,0.4875555555555556,W,20.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Lithobates catesbeianus
Amphibia,Caudata,Proteidae,Necturus,maculosus,102.0,0.102,0.0175555555555555,W,15.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Necturus maculosus
Amphibia,Caudata,Salamandridae,Notophthalmus,viridescens,1.0,0.001,0.0012222222222222,W,15.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Notophthalmus viridescens
Amphibia,Anura,Odontophrynidae,Odontophrynus,americanus,15.0,0.015,0.0488333333333333,W,20.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Odontophrynus americanus
Amphibia,Anura,Hylidae,Osteopilus,septentrionalis,16.0,0.016,0.0842222222222222,W,21.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Osteopilus septentrionalis
Amphibia,Caudata,Plethodontidae,Plethodon,glutinosus,4.0,0.004,0.0035555555555555,W,22.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Plethodon glutinosus
Amphibia,Caudata,Plethodontidae,Plethodon,jordani,4.0,0.004,0.0104999999999999,W,27.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Plethodon jordani
Amphibia,Caudata,Plethodontidae,Plethodon,yonahlossee,5.0,0.005,0.0042222222222222,W,22.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Plethodon yonahlossee
Amphibia,Anura,Hylidae,Pseudacris,cadaverina,3.0,0.003,0.0215555555555555,W,23.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Pseudacris cadaverina
Amphibia,Anura,Hylidae,Pseudacris,crucifer,1.0,0.001,0.0056111111111111,W,21.0,C,"J. F. Gillooly, J. P. Gomez, E. V. Mavrodiev,  A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms. Proc. Biol. Sci. 284, 20162328 (2017).",Pseudacris crucifer
