taxon_name,wet_Mass_kg,temperature,pc1,pc2,pc3,pc4,pc5,BMR
Abramis brama,0.2340800001179117,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.5961722033331851
Abramis brama,0.2422200001149164,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.6955287439940182
Abramis brama,0.25064000007292,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.6383484323750132
Abramis brama,0.25064000007292,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.7322232017390811
Abramis brama,0.254959999726617,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.5564046177493239
Abramis brama,0.2873399997179818,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.7447331459161058
Abramis brama,0.2973300000979358,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.7839888596147051
Abramis brama,0.3129599999225284,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.68297924834681
Acanthopagrus schlegelii,0.2540000002222817,25.0,4408.74512920855,-2906.118607171294,660.7599276629663,-28.00844500646529,-64.7842835284049,0.0404867428666666
Acanthopagrus schlegelii,0.2540000002222817,25.0,4408.74512920855,-2906.118607171294,660.7599276629663,-28.00844500646529,-64.7842835284049,0.0424617059333333
Acanthopagrus schlegelii,0.2540000002222817,25.0,4408.74512920855,-2906.118607171294,660.7599276629663,-28.00844500646529,-64.7842835284049,0.0493740766666666
Acanthopagrus schlegelii,0.2540000002222817,25.0,4408.74512920855,-2906.118607171294,660.7599276629663,-28.00844500646529,-64.7842835284049,0.074061115
Acanthopagrus schlegelii,0.2540000002222817,25.0,4408.74512920855,-2906.118607171294,660.7599276629663,-28.00844500646529,-64.7842835284049,0.1165228209444444
Acanthopagrus schlegelii,0.2540000002222817,25.0,4408.74512920855,-2906.118607171294,660.7599276629663,-28.00844500646529,-64.7842835284049,0.1629344529999999
Acanthopagrus schlegelii,0.2540000002222817,25.0,4408.74512920855,-2906.118607171294,660.7599276629663,-28.00844500646529,-64.7842835284049,0.1678718606666666
Acanthopagrus schlegelii,0.2540000002222817,25.0,4408.74512920855,-2906.118607171294,660.7599276629663,-28.00844500646529,-64.7842835284049,0.1728092683333333
Acanthopagrus schlegelii,0.2540000002222817,25.0,4408.74512920855,-2906.118607171294,660.7599276629663,-28.00844500646529,-64.7842835284049,0.177746676
Acanthopagrus schlegelii,0.2540000002222817,25.0,4408.74512920855,-2906.118607171294,660.7599276629663,-28.00844500646529,-64.7842835284049,0.1797216390555555
Acanthopagrus schlegelii,0.2540000002222817,25.0,4408.74512920855,-2906.118607171294,660.7599276629663,-28.00844500646529,-64.7842835284049,0.1856465282777777
Acanthopagrus schlegelii,0.2540000002222817,25.0,4408.74512920855,-2906.118607171294,660.7599276629663,-28.00844500646529,-64.7842835284049,0.3061192753333333
Acanthopagrus schlegelii,0.2540000002222817,25.0,4408.74512920855,-2906.118607171294,660.7599276629663,-28.00844500646529,-64.7842835284049,0.3189565352777778
Acanthopagrus schlegelii,0.2540000002222817,25.0,4408.74512920855,-2906.118607171294,660.7599276629663,-28.00844500646529,-64.7842835284049,0.3387061659444444
Acanthopagrus schlegelii,0.2540000002222817,25.0,4408.74512920855,-2906.118607171294,660.7599276629663,-28.00844500646529,-64.7842835284049,0.3653681673333333
Acipenser gueldenstaedtii,2.0000000015474223e-05,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.0001284423350502
Acipenser gueldenstaedtii,0.0003000000001936,18.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.000594497087904
Acipenser gueldenstaedtii,0.0004700000000695,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.001382453048858
Acipenser gueldenstaedtii,0.0124999999997681,25.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.0255617759111111
Acipenser gueldenstaedtii,0.208000000017835,18.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.0803702653436653
Acipenser ruthenus,0.2049999999736825,20.7,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.1502487304559007
Acipenser ruthenus,0.3040000002738671,6.5,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.2447529859830024
Acipenser stellatus,2.0000000015474223e-05,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.0001284423350502
Acipenser stellatus,3.000000001936501e-05,21.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.0001424984370014
Acipenser stellatus,5.999999994699768e-05,21.7,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.0002881130315518
Acipenser stellatus,8.999999990895752e-05,22.1,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.0004187438741183
Acipenser stellatus,0.0002299999999906,18.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.0006627234930456
Acipenser stellatus,0.0002299999999906,25.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.0007573672333333
Acipenser stellatus,0.0006500000005345,17.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.0020671706769777
Acipenser stellatus,0.001750000001264,17.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.0032499033698108
Acipenser stellatus,0.0036200000038912,20.0,6350.938309574817,5429.685073005452,87.41299257444702,126.69538964312966,4.046717557545902,0.009599316915429
