taxon_name
Setifer setosus
Elephantulus intufi
Elephantulus brachyrhynchus
Elephantulus edwardii
Elephantulus myurus
Petrodromus tetradactylus
Macroscelides proboscideus
Orycteropus afer
Zaedyus pichiy
Chaetophractus vellerosus
Chaetophractus villosus
Euphractus sexcinctus
Tolypeutes matacus
Cabassous centralis
Priodontes maximus
Tamandua tetradactyla
Myrmecophaga tridactyla
Cyclopes didactylus
Bradypus variegatus
Choloepus hoffmanni
Tachyglossus aculeatus
Zaglossus bruijni
Ornithorhynchus anatinus
Bunopus tuberculatus
Hemidactylus frenatus
Hemidactylus platyurus
Gekko gecko
Chondrodactylus bibronii
Rhoptropus bradfieldi
Phelsuma madagascariensis
Tarentola mauritanica
Ptyodactylus hasselquistii
Teratoscincus przewalskii
Sphaerodactylus macrolepis
Sphaerodactylus cinereus
Sphaerodactylus notatus
Coleonyx variegatus
Coleonyx switaki
Strophurus intermedius
Diplodactylus galeatus
Naultinus manukanus
Nephrurus levis
Nephrurus asper
Scincella lateralis
Ctenotus labillardieri
Oligosoma polychroma
Oligosoma macgregori
Egernia cunninghami
Tiliqua scincoides
Tiliqua rugosa
Scelotes gronovii
Chalcides sepsoides
Chalcides ocellatus
Scincus mitranus
Acontias meleagris
Lepidophyma gaigeae
Xantusia henshawi
Xantusia vigilis
Xantusia riversiana
Python sebae
Python molurus
Python regius
Antaresia stimsoni
Antaresia childreni
Morelia spilota
Liasis olivaceus
Liasis fuscus
Aspidites melanocephalus
Malayopython reticulatus
Epicrates cenchria
Eunectes murinus
Eunectes notaeus
Corallus caninus
Boa constrictor
Eryx colubrinus
Lichanura trivirgata
Acrantophis dumerili
Spalerosophis diadema
Pseudonaja nuchalis
Hydrophis platurus
Acanthophis praelongus
Salvadora hexalepis
Chironius quadricarinatus
Coluber constrictor
Masticophis flagellum
Lampropeltis getula
Pantherophis guttatus
Pituophis catenifer
Dipsas albifrons
Xenodon merremii
Xenodon guentheri
Xenodon neuwiedii
Helicops modestus
Oxyrhopus trigeminus
Philodryas patagoniensis
Philodryas olfersii
Diadophis punctatus
Storeria dekayi
Nerodia rhombifer
Thamnophis butleri
Thamnophis proximus
Thamnophis sirtalis
Natrix maura
Natrix natrix
Vipera berus
Crotalus viridis
Acrochordus arafurae
Varanus albigularis
Varanus exanthematicus
Varanus acanthurus
Varanus gilleni
Varanus caudolineatus
Varanus eremius
Varanus brevicauda
Varanus tristis
Varanus varius
Varanus panoptes
Varanus gouldii
Varanus rosenbergi
Varanus giganteus
Varanus mertensi
Varanus bengalensis
Anguis fragilis
Ophisaurus ventralis
Elgaria multicarinata
Anniella pulchra
Heloderma horridum
Heloderma suspectum
Crotaphytus collaris
Anolis limifrons
Anolis sagrei
Anolis acutus
Anolis carolinensis
Phrynosoma cornutum
Phrynosoma douglasii
Petrosaurus mearnsi
Sceloporus undulatus
Sceloporus occidentalis
Sceloporus olivaceus
Sceloporus graciosus
Sceloporus variabilis
Uta stansburiana
Amblyrhynchus cristatus
Cyclura nubila
Sauromalus hispidus
