Cypholoba trilunata
Cystosoma saundersii
Dasylabris sp.
Dasymutilla gloriosa
Deilephila elpenor
Deilephila euphorbiae
Dendrocoris contaminatus
Diceroprocta apache
Dicuspiditermes nemorosus
Dicuspiditermes santschii
Diplocapsis sp.
Dirphea agis
Drosophila americana
Drosophila melanogaster
Drosophila mimica
Drosophila nikananu
Drosophila repleta
Drosophila virilis
Dryoctenes scrupulosa
Dyscinetus sp.
Eacles imperialis
Eburia sp.
Eciton hamatum
Ectemnorhinus marioni
Ectemnorhinus similis
Edrotes ventricosus
Eleodes armata
Eleodes grandicollis
Eleodes sp.
Eleodes tenebrosa
Encoptolophus s.
Enyaliopsis petersi
Enyo ocypete
Epiphysa arenicola
Erinnyis ello
Erinnyis oenotrus
Erodius nanus
Erythemis simplicicollis
Erythrodiplax berenice
Erythrodiplax connata
Eublaberus posticus
Euborellia annulipes
Euconocephalus nasutus
Eucyllus unicolor
Eucyllus vagans
Eugaster loricatus
Euglyphis sp.
Eusattus dubius
Euschides luctata
Evarthrus sodalis
Fidicina mannifera
Forelius foetidus
Formica exsecta
Formica fusca
Formica occulta
Formica pratensis
Galleria mellonella
Geotrupes sp.
Geotrupes spiniger
Globitermes globosus
Glossina morsitans
Glossina pallidipes
Griburius sp.
Gromphadorhina chopardi
Gromphadorihna portentosa
Gryllotalpa australis
Hapigia simplex
Havilanditermes atripennis
Helius waiti
Heterotermes tenuior
Hippodamia convergens
Hipporhinus tenuegranosus
Homallotermes eleanorae
Hophlosphyrum griseus
Hospitalitermes hospitalis
Hydromedion sparsutum
Hylesia praeda
Hylesia sp.
Hylobius abietis
Hypera postica
Hyperchirica nausica
Hypotermes xenotermites
Hysteropterum sp.
Insara covilleae
Ips acuminatus
Karoophasma biedouwense
Labritermes kistneri
Lasius alienus
Lasius flavus
Lasius niger
Lasius sitiens
Leptinotarsa decemlineata
Leptogenys attenuata
Leptogenys nitida
Leptogenys schwabi
Leptothorax acerovorum
Leptothorax unifasciatus
Leucocelis elegans
Libellula auripennis
Libellula needhami
Lirimiris sp.
Lixus bisulcatus
Locusta migratoria
Lygus kalmii
Macrodontia dejeani
Macrotermes carbonarius
Macrotermes gilvus
Macrotermes malaccensis
Madoryx oeclus
Mamestra configurata
Manduca corallina
Manduca lefeburei
Manduca rustica
Megalpyge sp.
Melanoplus bivittatus
Melanoplus complanipes
Meloid sp.
Melyrid sp.
Messor capensis
Messor capitatus
Messor julianus
Messor pergandei
Metopsilus porcellus
Miathyria marcella
Microcerotermes dubius
Microcerotermes serrula
Microcerus sp.
Miloderes sp.
Mimas tiliae
Monoxia sp.
Multareoides bifurcatus
Musca autumnalis
Musca domestica
Myrmica alaskensis
Myrmica rubra
Nasutitermes longinasus
Nauphoeta cinerea
Neoconocephalus robustus
Neocossus sp.
Neophilaenus lineatus
Nyctobates procerus
Nyssicus setosus
Odonestis pruni
Odontotaenius disjunctus
Oecanthus quadripunctatus
Oedalis instillatus
Omorgus radula
Oncideres putator
Onymacris laeviceps
Onymacris plana
Onymacris rugatipennis
Onymacris unguicularis
Ophryastes varius
Oryba achemenides
Ostrinia nubilalis
Pachydiplax longipennis
Pachygonia drucei
Pachylia ficus
Pachylomerus femoralis
Palirhoeus eatoni
Pantala flavescens
Pantophthalmus tabaninus
Paractora dreuxi
Paractora trichosterna
Paraponera clavata
Parcoblatta sp.
Pelidnota sp.
Pericapritermes nitobei
Pericapritermes semarangi
Perigonia lusca
Perimylops antarcticus
Periplaneta americana
Periplaneta orientalis
Perisphaeria sp.
Peristeptus sp.
Perithemis tenera
Philaenus spumarius
Phileurus sp.
Phormia regina
Phorocantha recurva
Phorocantha semipunctata
Phrynocolus auriculatus
Phrynocolus petrosus
Phrynocolus sp.
Physadesmia globosa
Physosterna cribripes
Phytocoris nigripubescens
Pilica formidolosa
Pimelia cenchronota
Pimelia grandis
Pimelia obsoleta
Pleocoma australis
Pogonomyrmex californicus
Pogonomyrmex maricopa
Pogonomyrmex occidentalis
Pogonomyrmex rugosus
Pogonomyrmex sp.
Ponaria sp.
Popilius sp.
Proaciculitermes sp.
Procapritermes nr.
Prohamitermes mirabilis
Promachus sp.
Protambulyx strigilis
Protophormia terraenovae
Psammodes striatus
Pseudococcus citri
Pternonemobius fasciatus
Pterohelaeus sp.
Reichebnachia sp.
Requena verticalis
Reticulitermes flavipes
Rhizopertha dominica
Rhodnius prolixus
Rhynchaenus flagellum
Rhyparobia maderae
Rhytinota praelonga
Rhytonomus isobellina
Romalea guttata
Saprinus sp.
Scarabaeus flavicornis
Scarabaeus galenus
Scarabaeus gariepinus
Scarabaeus hippocrates
Scarabaeus rusticus
Scarabaeus striatum
Scarabaeus westwoodi
