taxon_name,PC1,PC2,PC3,PC4,PC5
Spinus tristis,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Spinus pinus,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Spinus spinus,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Linaria cannabina,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Serinus canaria,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Acanthis flammea,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Loxia curvirostra,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Carduelis carduelis,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Chloris chloris,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Haemorhous mexicanus,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Carpodacus erythrinus,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Pyrrhula pyrrhula,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Pinicola enucleator,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Coccothraustes coccothraustes,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Spizelloides arborea,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Fringilla montifringilla,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Fringilla coelebs,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Passer domesticus,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Passer montanus,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Aethopyga siparaja,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Arachnothera longirostra,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Cinnyris venustus,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Nectarinia tacazze,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Pachycephala pectoralis,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Oriolus oriolus,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Himatione sanguinea,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Cracticus torquatus,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Strepera graculina,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Tyrannus tyrannus,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Myiarchus crinitus,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Sayornis phoebe,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Empidonax virescens,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Contopus virens,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Pipra mentalis,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Manacus vitellinus,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Thamnophilus punctatus,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Xiphorhynchus guttatus,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Emberiza schoeniclus,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Neochmia temporalis,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Psophodes olivaceus,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Pardalotus punctatus,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Acanthiza pusilla,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Acanthiza uropygialis,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Acanthiza chrysorrhoa,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Acanthiza lineata,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Sericornis frontalis,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Smicrornis brevirostris,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Lichmera indistincta,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Acanthorhynchus tenuirostris,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Manorina flavigula,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Acanthagenys rufogularis,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Meliphaga lewinii,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Malurus lamberti,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Malurus cyaneus,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Falco sparverius,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Falco tinnunculus,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Falco subbuteo,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Centropus senegalensis,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Cuculus canorus,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Cacomantis variolosus,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Eudynamys scolopaceus,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Chauna chavaria,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Anas platyrhynchos,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Anas acuta,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Anas crecca,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Aythya nyroca,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Aythya ferina,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Aythya fuligula,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Netta rufina,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Anser anser,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Cygnus buccinator,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Aix sponsa,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Coturnix pectoralis,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Coturnix coturnix,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Coturnix japonica,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Excalfactoria chinensis,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Alectoris graeca,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Perdix perdix,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Bonasa umbellus,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Tetrao urogallus,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Lagopus leucura,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Lagopus lagopus,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Dendragapus obscurus,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Gallus gallus,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Callipepla gambelii,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Colinus virginianus,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Crax daubentoni,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Crax alberti,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Pseudemys scripta,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Terrapene ornata,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Chelydra serpentina,17346.672262900553,-89.99141154137355,724.0223987638774,-1191.515249608993,5.3206200277729545
Karoophasma biedouwense,4953.790741580214,156.82320553298945,-1988.0543478201164,6587.882963883427,-53.111999215901186
Rhyparobia maderae,4953.790741580214,156.82320553298945,-1988.0543478201164,6587.882963883427,-53.111999215901186
Nauphoeta cinerea,4953.790741580214,156.82320553298945,-1988.0543478201164,6587.882963883427,-53.111999215901186
Eublaberus posticus,4953.790741580214,156.82320553298945,-1988.0543478201164,6587.882963883427,-53.111999215901186
Blaberus discoidalis,4953.790741580214,156.82320553298945,-1988.0543478201164,6587.882963883427,-53.111999215901186
Blaberus giganteus,4953.790741580214,156.82320553298945,-1988.0543478201164,6587.882963883427,-53.11199921590121
Coptotermes formosanus,4953.790741580214,156.82320553298945,-1988.0543478201164,6587.882963883427,-53.11199921590121
Heterotermes tenuior,4953.790741580214,156.82320553298945,-1988.0543478201164,6587.882963883427,-53.11199921590121
Reticulitermes flavipes,4953.790741580214,156.82320553298945,-1988.0543478201164,6587.882963883427,-53.111999215901186
Nasutitermes longinasus,4953.790741580214,156.82320553298945,-1988.0543478201164,6587.882963883427,-53.111999215901186
Hospitalitermes hospitalis,4953.790741580214,156.82320553298945,-1988.0543478201164,6587.882963883427,-53.111999215901186
Havilanditermes atripennis,4953.790741580214,156.82320553298945,-1988.0543478201164,6587.882963883427,-53.111999215901186
Microcerotermes serrula,4953.790741580214,156.82320553298945,-1988.0543478201164,6587.882963883427,-53.111999215901186
Microcerotermes dubius,4953.790741580214,156.82320553298945,-1988.0543478201164,6587.882963883427,-53.111999215901186
Termes borneensis,4953.790741580214,156.82320553298945,-1988.0543478201164,6587.882963883427,-53.111999215901186
Globitermes globosus,4953.790741580214,156.82320553298945,-1988.0543478201164,6587.882963883427,-53.111999215901186
Prohamitermes mirabilis,4953.790741580214,156.82320553298945,-1988.0543478201164,6587.882963883427,-53.111999215901186
Dicuspiditermes santschii,4953.790741580214,156.82320553298945,-1988.0543478201164,6587.882963883427,-53.111999215901186
Dicuspiditermes nemorosus,4953.790741580214,156.82320553298945,-1988.0543478201164,6587.882963883427,-53.111999215901186
Pericapritermes nitobei,4953.790741580214,156.82320553298945,-1988.0543478201164,6587.882963883427,-53.111999215901186
Homallotermes eleanorae,4953.790741580214,156.82320553298945,-1988.0543478201164,6587.882963883427,-53.111999215901186
Macrotermes gilvus,4953.790741580214,156.82320553298945,-1988.0543478201164,6587.882963883427,-53.111999215901186
Macrotermes malaccensis,4953.790741580214,156.82320553298945,-1988.0543478201164,6587.882963883427,-53.111999215901186
Macrotermes carbonarius,4953.790741580214,156.82320553298945,-1988.0543478201164,6587.882963883427,-53.111999215901186
Schedorhinotermes sarawakensis,4953.790741580214,156.82320553298945,-1988.0543478201164,6587.882963883427,-53.111999215901186
Periplaneta americana,4953.790741580214,156.82320553298945,-1988.0543478201164,6587.882963883427,-53.111999215901186
Blatta orientalis,4953.790741580214,156.82320553298945,-1988.0543478201164,6587.882963883427,-53.111999215901186
Melanoplus bivittatus,4953.790741580214,156.82320553298928,-1988.0543478201162,6587.882963883427,-53.11199921590091
Locusta migratoria,4953.790741580214,156.82320553298928,-1988.0543478201162,6587.882963883427,-53.11199921590091
Trimerotropis pallidipennis,4953.790741580214,156.82320553298928,-1988.0543478201162,6587.882963883427,-53.11199921590091
Trimerotropis saxatilis,4953.790741580214,156.82320553298928,-1988.0543478201162,6587.882963883427,-53.11199921590091
Tanaocerus koebeli,4953.790741580214,156.82320553298928,-1988.0543478201162,6587.882963883427,-53.11199921590091
Oecanthus quadripunctatus,4953.790741580214,156.82320553298928,-1988.0543478201162,6587.882963883427,-53.11199921590091
Acheta domesticus,4953.790741580214,156.82320553298928,-1988.0543478201162,6587.882963883427,-53.11199921590091
Teleogryllus commodus,4953.790741580214,156.82320553298928,-1988.0543478201162,6587.882963883427,-53.11199921590091
Requena verticalis,4953.790741580214,156.82320553298928,-1988.0543478201162,6587.882963883427,-53.11199921590091
Conocephalus fasciatus,4953.790741580214,156.82320553298928,-1988.0543478201162,6587.882963883427,-53.11199921590091
Dasymutilla gloriosa,4842.737673656587,158.20248310712526,-1997.5082039901597,6551.354750694507,-51.25206241670473
Solenopsis invicta,4842.737673656587,158.20248310712526,-1997.5082039901597,6551.354750694507,-51.25206241670473
Atta laevigata,4842.737673656587,158.20248310712526,-1997.5082039901597,6551.354750694507,-51.25206241670473
Tetramorium caespitum,4842.737673656587,158.20248310712526,-1997.5082039901597,6551.354750694507,-51.25206241670473
Aphaenogaster cockerelli,4842.737673656587,158.20248310712526,-1997.5082039901597,6551.354750694507,-51.25206241670473
Myrmica alaskensis,4842.737673656587,158.20248310712526,-1997.5082039901597,6551.354750694507,-51.25206241670473
Myrmica rubra,4842.737673656587,158.20248310712526,-1997.5082039901597,6551.354750694507,-51.25206241670473
Pogonomyrmex rugosus,4842.737673656587,158.20248310712526,-1997.5082039901597,6551.354750694507,-51.25206241670473
Pogonomyrmex maricopa,4842.737673656587,158.20248310712526,-1997.5082039901597,6551.354750694507,-51.25206241670473
Camponotus vafer,4842.737673656587,158.20248310712526,-1997.5082039901597,6551.354750694507,-51.25206241670473
Camponotus laevigatus,4842.737673656587,158.20248310712526,-1997.5082039901597,6551.354750694507,-51.25206241670473
Camponotus vicinus,4842.737673656587,158.20248310712526,-1997.5082039901597,6551.354750694507,-51.25206241670473
Cataglyphis bicolor,4842.737673656587,158.20248310712526,-1997.508203990159,6551.354750694507,-51.25206241670473
Lasius niger,4842.737673656587,158.20248310712526,-1997.5082039901597,6551.354750694507,-51.25206241670473
Eciton hamatum,4842.737673656587,158.20248310712526,-1997.5082039901597,6551.354750694507,-51.25206241670473
Paraponera clavata,4842.737673656587,158.20248310712526,-1997.5082039901597,6551.354750694507,-51.25206241670473
Leptogenys attenuata,4842.737673656587,158.20248310712526,-1997.5082039901597,6551.354750694507,-51.25206241670473
Apis mellifera,4835.504641556352,158.2622157122026,-1997.5873516311465,6545.146664418357,-51.04579077192399
Bombus terrestris,4842.737673656587,158.20248310712526,-1997.5082039901597,6551.354750694507,-51.25206241670473
Sphaeroderus stenostomus,4814.117809247616,158.55997440038652,-1999.9807412001064,6542.196430541573,-50.77822314945662
Cicindela repanda,4814.117809247616,158.55997440038652,-1999.9807412001064,6542.196430541573,-50.77822314945662
Cicindela longilabris,4814.117809247616,158.55997440038652,-1999.9807412001064,6542.196430541573,-50.77822314945662
Amara quenseli,4814.117809247616,158.55997440038652,-1999.9807412001064,6542.196430541573,-50.77822314945662
Sphaeridium lunatum,4814.117809247616,158.55997440038652,-1999.9807412001064,6542.196430541573,-50.77822314945662
Hylobius abietis,4814.117809247616,158.55997440038652,-1999.9807412001064,6542.196430541573,-50.77822314945662
Ips acuminatus,4814.117809247616,158.55997440038652,-1999.9807412001064,6542.196430541573,-50.77822314945662
Hypera postica,4814.117809247616,158.55997440038652,-1999.9807412001064,6542.196430541573,-50.77822314945662
Sitophilus granarius,4814.117809247616,158.55997440038652,-1999.9807412001064,6542.196430541573,-50.77822314945662
Tribolium castaneum,4814.117809247616,158.55997440038652,-1999.9807412001064,6542.196430541573,-50.77822314945662
Tribolium confusum,4814.117809247616,158.55997440038652,-1999.9807412001064,6542.196430541573,-50.77822314945662
